"name","mz","ionmode"
"FA 9:2;O",169.08702,"neg"
"FA 9:3",151.07645,"neg"
"FA 9:3;O",167.07137,"neg"
"SPB 10:0;2O",188.1656,"neg"
"SPB 10:0;3O",204.16052,"neg"
"SPB 10:1;2O",186.14995,"neg"
"SPB 10:1;3O",202.14487,"neg"
"SPB 10:2;2O",184.1343,"neg"
"SPB 10:2;3O",200.12922,"neg"
"SPB 10:3;2O",182.11865,"neg"
"SPB 10:3;3O",198.11357,"neg"
"SPB 11:0;2O",202.18125,"neg"
"SPB 11:0;3O",218.17617,"neg"
"SPB 11:1;2O",200.1656,"neg"
"SPB 11:1;3O",216.16052,"neg"
"SPB 11:2;2O",198.14995,"neg"
"SPB 11:2;3O",214.14487,"neg"
"SPB 11:3;2O",196.1343,"neg"
"SPB 11:3;3O",212.12922,"neg"
"SPB 12:0;2O",216.1969,"neg"
"SPB 12:0;3O",232.19182,"neg"
"SPB 12:1;2O",214.18125,"neg"
"SPB 12:1;3O",230.17617,"neg"
"SPB 12:2;2O",212.1656,"neg"
"SPB 12:2;3O",228.16052,"neg"
"SPB 12:3;2O",210.14995,"neg"
"SPB 12:3;3O",226.14487,"neg"
"SPB 13:0;2O",230.21255,"neg"
"SPB 13:0;3O",246.20747,"neg"
"SPB 13:1;2O",228.1969,"neg"
"SPB 13:1;3O",244.19182,"neg"
"SPB 13:2;2O",226.18125,"neg"
"SPB 13:2;3O",242.17617,"neg"
"SPB 13:3;2O",224.1656,"neg"
"SPB 13:3;3O",240.16052,"neg"
"SPB 14:0;2O",244.2282,"neg"
"SPB 14:0;3O",260.22312,"neg"
"SPB 14:1;2O",242.21255,"neg"
"SPB 14:1;3O",258.20747,"neg"
"SPB 14:2;2O",240.1969,"neg"
"SPB 14:2;3O",256.19182,"neg"
"SPB 14:3;2O",238.18125,"neg"
"SPB 14:3;3O",254.17617,"neg"
"SPB 15:0;2O",258.24385,"neg"
"SPB 15:0;3O",274.23877,"neg"
"SPB 15:1;2O",256.2282,"neg"
"SPB 15:1;3O",272.22312,"neg"
"SPB 15:2;2O",254.21255,"neg"
"SPB 15:2;3O",270.20747,"neg"
"SPB 15:3;2O",252.1969,"neg"
"SPB 15:3;3O",268.19182,"neg"
"SPB 16:0;2O",272.2595,"neg"
"SPB 16:0;3O",288.25442,"neg"
"SPB 16:1;2O",270.24385,"neg"
"SPB 16:1;3O",286.23877,"neg"
"SPB 16:2;2O",268.2282,"neg"
"SPB 16:2;3O",284.22312,"neg"
"SPB 16:3;2O",266.21255,"neg"
"SPB 16:3;3O",282.20747,"neg"
"SPB 17:0;2O",286.27515,"neg"
"SPB 17:0;3O",302.27007,"neg"
"SPB 17:1;2O",284.2595,"neg"
"SPB 17:1;3O",300.25442,"neg"
